Population au 1er janvier par âge et année;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(p);(p);(p);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Âge au 1er janvier;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070
50;561.578;606.148;594.634;585.147;391.883;313.948;329.287;369.292;415.386;682.484;663.145;644.613;638.669;634.271;647.450;644.348;638.997;646.613;638.964;661.770;651.017;645.451;617.543;622.950;599.111;597.584;585.805;581.401;582.379;556.031;524.712;579.706;617.235;629.240;632.910;826.510;864.096;872.701;874.476;881.825;848.850;863.844;847.303;859.669;855.790;861.536;865.139;862.511;879.529;882.821;884.220;882.818;914.145;920.949;911.215;904.088;881.433;882.183;889.942;899.550;917.705;919.608;898.789;853.677;812.276;786.470;806.895;804.407;822.741;870.949;863.900;858.691;814.265;828.071;838.841;844.399;834.614;836.934;829.450;828.269;813.252;801.140;768.551;766.391;781.584;784.138;772.901;789.845;792.575;834.994;822.380;812.702;812.251;820.003;829.095;851.603;844.141;859.054;858.101;874.277;859.892;860.145;850.490;850.670;833.715;819.726;805.909;792.561;785.127
51;593.586;566.345;602.286;591.035;581.394;389.566;312.000;327.396;367.386;413.045;678.776;659.360;640.890;634.141;628.543;643.079;639.875;634.465;642.177;634.786;657.633;646.117;641.370;613.298;618.764;595.345;594.182;582.109;578.274;591.097;553.293;522.724;577.056;614.521;626.826;629.805;822.894;860.214;871.927;873.035;880.620;846.809;862.586;845.433;857.064;852.568;859.342;861.258;860.531;877.364;880.900;882.805;881.519;910.980;917.462;905.451;901.700;877.625;878.427;886.276;895.928;914.294;916.388;895.746;850.868;809.690;784.063;804.543;802.172;820.571;868.700;861.704;856.542;812.253;826.059;836.839;842.417;832.684;835.028;827.589;826.436;811.478;799.418;766.917;764.787;779.974;782.549;771.355;788.292;791.039;833.408;820.840;811.201;810.773;818.535;827.634;850.129;842.700;857.613;856.683;872.857;858.514;858.786;849.165;849.365;832.450;818.498;804.716;791.402
52;587.018;598.489;562.360;598.199;586.850;577.489;386.972;309.733;325.403;365.297;410.045;674.412;655.203;636.467;630.162;624.220;638.767;635.324;629.846;637.715;630.671;653.445;641.160;637.481;609.174;614.550;591.753;590.963;578.490;587.344;588.654;550.981;521.064;574.540;611.981;624.463;626.630;819.008;859.463;870.975;871.437;879.270;844.643;861.452;843.428;855.237;851.308;855.833;859.092;857.498;875.289;878.585;882.866;878.225;907.049;913.815;903.345;898.591;874.548;875.462;883.269;893.057;911.477;913.603;893.061;848.344;807.313;781.787;802.237;799.901;818.292;866.336;859.396;854.285;810.141;823.948;834.738;840.337;830.659;833.029;825.639;824.516;809.619;797.615;765.209;763.109;778.292;780.888;769.740;786.670;789.436;831.750;819.231;809.634;809.231;817.002;826.109;848.591;841.197;856.109;855.204;871.376;857.077;857.370;847.785;848.007;831.134;817.222;803.478
53;589.125;590.873;593.975;558.063;593.444;582.546;573.109;384.368;307.313;323.322;362.686;406.666;669.804;650.280;627.729;625.479;619.878;634.104;630.399;625.226;633.141;626.390;649.526;636.758;633.863;605.453;611.083;588.775;588.381;586.984;584.417;585.853;548.391;519.306;571.950;609.532;622.315;623.907;818.003;858.394;869.760;869.511;877.510;842.430;859.760;840.976;852.451;849.625;852.071;855.274;854.507;872.341;878.420;878.219;875.332;901.757;911.218;899.795;895.070;871.272;872.178;880.108;889.976;908.375;910.538;890.105;845.560;804.688;779.271;799.692;797.404;815.785;863.739;856.858;851.801;807.812;821.620;832.420;838.042;828.422;830.819;823.481;822.389;807.558;795.613;763.307;761.241;776.419;779.037;767.938;784.860;787.645;829.903;817.435;807.882;807.506;815.287;824.403;846.870;839.514;854.425;853.545;869.715;855.464;855.778;846.231;846.476;829.650;815.779
54;568.555;592.703;585.709;589.103;553.206;588.443;577.665;568.739;381.425;304.793;320.842;359.742;403.120;664.332;647.920;622.867;620.728;615.347;629.378;625.323;620.495;628.378;621.706;645.439;632.076;629.990;601.611;607.382;585.484;596.741;583.941;581.132;582.545;545.165;516.944;568.457;606.065;618.998;622.983;816.930;857.250;868.357;867.445;875.733;839.880;855.928;837.478;849.865;845.260;848.478;853.420;853.042;872.005;875.472;875.567;870.261;897.896;907.429;896.133;891.426;867.780;868.898;876.927;886.821;905.216;907.433;887.131;842.786;802.098;776.816;797.215;794.979;813.350;861.208;854.389;849.390;805.564;819.374;830.185;835.830;826.272;828.698;821.414;820.356;805.595;793.711;761.512;759.482;774.653;777.295;766.248;783.161;785.967;828.164;815.752;806.246;805.898;813.689;822.814;845.267;837.950;852.860;852.008;868.176;853.974;854.312;844.804;845.074;828.297
55;572.736;571.125;587.131;580.295;583.711;548.196;583.132;573.103;563.732;377.905;301.950;317.860;356.410;398.792;653.722;642.312;617.792;615.737;610.721;624.480;620.382;615.476;623.531;616.972;641.293;627.377;626.302;597.941;603.810;592.748;592.674;580.099;577.234;578.633;541.493;514.075;564.713;602.365;617.092;621.457;815.216;855.402;866.393;865.019;873.239;836.528;852.692;834.093;845.088;841.575;846.235;850.716;853.098;868.266;871.123;870.701;867.357;893.864;903.467;892.392;887.729;864.342;865.602;873.676;883.612;902.016;904.306;884.158;840.039;799.561;774.414;794.790;792.609;810.969;858.725;851.973;847.035;803.383;817.194;828.017;833.687;824.195;826.652;819.426;818.404;803.717;791.899;759.813;757.821;772.985;775.652;764.661;781.565;784.393;826.525;814.172;804.716;804.398;812.200;821.334;843.772;836.497;851.406;850.583;866.749;852.600;852.963;843.498;843.793
56;565.915;574.640;565.126;581.485;574.281;577.861;542.674;577.988;567.924;558.369;374.450;298.745;314.613;352.586;396.713;647.899;636.802;612.567;610.572;605.860;619.475;615.755;610.653;618.821;612.360;637.182;623.032;622.909;594.373;610.473;588.842;588.960;576.583;573.829;575.337;538.303;512.010;561.991;600.570;615.005;619.986;813.246;853.198;864.449;862.163;870.992;833.238;849.715;829.196;842.372;838.437;843.768;849.981;849.482;864.457;865.056;867.731;863.262;889.783;899.362;888.475;884.110;860.974;862.329;870.464;880.455;898.882;901.261;881.287;837.421;797.144;772.141;792.493;790.369;808.718;856.365;849.685;844.811;801.345;815.157;825.993;831.690;822.267;824.758;817.593;816.609;802.001;790.254;758.288;756.337;771.494;774.187;763.254;780.148;783.000;825.064;812.772;803.370;803.084;810.898;820.042;842.463;835.233;850.140;849.349;865.512;851.421;851.810;842.391
57;560.257;566.950;568.031;559.031;574.828;568.002;571.611;537.625;572.065;562.466;552.882;370.578;295.227;310.874;348.997;392.936;641.973;630.876;607.104;605.310;600.826;613.673;610.361;605.073;613.318;607.100;632.534;617.815;618.790;599.691;606.306;584.309;584.443;572.446;569.525;571.148;534.279;508.911;560.667;598.377;612.503;617.865;810.637;850.708;861.536;858.972;868.773;829.709;845.265;825.038;839.087;834.820;842.409;845.204;846.457;859.851;861.663;864.130;860.081;886.362;895.948;885.291;881.012;857.994;859.357;867.462;877.419;895.778;898.157;878.276;834.640;794.576;769.725;790.051;787.987;806.325;853.857;847.252;842.446;799.177;812.990;823.839;829.564;820.215;822.741;815.641;814.697;800.173;788.500;756.662;754.754;769.903;772.624;761.753;778.637;781.514;823.505;811.278;801.933;801.681;809.507;818.662;841.065;833.882;848.788;848.030;864.191;850.160;850.577
58;549.985;560.480;559.851;561.311;551.980;568.036;561.159;565.168;531.935;566.188;556.952;546.987;366.499;291.397;307.298;345.443;388.932;635.557;624.713;601.339;599.705;594.809;607.615;604.570;599.087;607.621;601.750;627.532;612.388;622.967;594.827;602.013;579.857;580.248;568.555;565.500;567.534;530.896;506.715;559.260;596.166;609.952;615.751;808.149;847.584;857.899;855.310;864.608;825.133;840.787;821.462;836.122;832.580;838.625;841.164;842.295;856.878;858.116;860.659;856.619;882.828;892.563;882.009;877.756;854.849;856.210;864.272;874.180;892.452;894.820;875.100;831.711;791.876;767.188;787.486;785.486;803.812;851.219;844.695;839.963;796.906;810.720;821.582;827.337;818.067;820.631;813.601;812.700;798.267;786.674;754.973;753.111;768.252;771.004;760.200;777.072;779.977;821.888;809.732;800.448;800.232;808.072;817.238;839.622;832.490;847.393;846.672;862.830;848.864
59;555.048;549.523;552.873;552.815;553.695;544.926;560.478;554.133;557.945;526.386;560.102;550.910;540.764;362.067;287.217;303.987;341.737;384.669;628.759;618.251;595.475;593.517;588.545;601.381;598.704;593.278;601.825;596.342;622.625;616.884;618.127;590.279;597.800;575.313;575.792;564.342;561.168;563.351;528.960;504.414;557.476;593.554;607.001;613.326;804.861;842.882;853.305;849.732;858.103;819.426;835.472;817.033;832.477;829.326;834.093;835.277;836.644;851.644;853.106;855.441;851.650;878.064;887.940;877.591;873.513;850.870;852.374;860.535;870.536;888.861;891.294;871.745;828.620;789.029;764.515;784.782;782.852;801.164;848.437;842.000;837.346;794.516;808.331;819.207;824.994;815.808;818.412;811.458;810.603;796.266;784.759;753.205;751.393;766.524;769.308;758.576;775.436;778.370;820.196;808.115;798.898;798.720;806.574;815.752;838.116;831.038;845.939;845.257;861.411
60;539.946;553.771;541.145;544.910;544.499;545.642;536.856;552.937;545.937;550.631;520.357;553.416;544.453;533.847;357.616;283.921;300.721;337.757;380.216;621.811;611.361;589.011;586.747;582.004;594.898;592.510;587.380;595.972;590.594;625.600;610.750;611.752;584.182;592.390;569.569;570.107;559.382;556.251;560.468;526.579;501.525;555.219;590.513;603.672;610.308;799.509;837.472;848.044;842.020;851.593;814.091;830.693;814.089;827.407;824.503;827.617;830.773;831.552;846.496;848.042;850.464;846.948;873.336;883.247;873.047;869.083;846.653;848.238;856.434;866.462;884.769;887.271;867.906;825.066;785.738;761.412;781.645;779.791;798.088;845.216;838.871;834.302;791.716;805.532;816.423;822.245;813.149;815.797;808.924;808.119;793.885;782.471;751.076;749.318;764.439;767.258;756.603;773.450;776.414;818.149;806.149;797.003;796.867;804.736;813.928;836.269;829.250;844.148;843.508
61;509.670;537.271;544.597;532.958;536.201;536.242;537.255;528.736;544.320;537.931;542.637;513.455;545.808;536.971;527.476;352.965;280.487;296.940;333.705;375.617;614.351;603.705;581.822;579.415;574.808;587.625;585.993;580.655;589.401;593.770;619.555;605.476;606.145;578.974;587.412;564.290;565.188;554.794;553.008;557.335;523.854;498.496;552.704;587.369;600.014;606.311;794.468;828.891;841.147;835.183;846.294;808.882;825.670;809.303;821.576;818.974;822.446;825.375;826.236;841.009;842.697;845.385;842.024;868.346;878.294;868.252;864.409;842.205;843.876;852.109;862.163;880.451;883.026;863.855;821.317;782.267;758.140;778.337;776.563;794.843;841.817;835.570;831.090;788.763;802.580;813.487;819.344;810.345;813.039;806.252;805.499;791.375;780.059;748.833;747.131;762.241;765.097;754.524;771.357;774.354;815.991;804.077;795.007;794.915;802.801;812.006;834.323;827.367;842.262
62;494.348;506.992;527.983;535.370;523.701;527.223;527.214;528.438;519.772;535.660;529.287;534.042;506.162;537.826;530.043;519.901;348.065;276.511;292.932;329.310;370.566;606.625;595.756;574.233;571.614;567.347;580.300;579.236;573.699;591.592;587.202;612.442;598.989;599.734;572.844;581.606;558.372;559.740;551.235;549.649;553.766;520.840;495.022;549.901;583.743;594.286;601.677;786.202;820.902;832.793;828.348;839.271;805.459;819.016;803.751;814.578;813.047;816.495;819.464;820.136;835.001;837.027;839.837;836.621;862.885;872.887;863.022;859.321;837.369;839.145;847.412;857.493;875.760;878.412;859.446;817.225;778.469;754.551;774.710;773.020;791.283;838.094;831.950;827.565;785.511;799.328;810.253;816.147;807.250;809.992;803.296;802.598;788.590;777.378;746.330;744.687;759.786;762.680;752.194;769.012;772.043;813.577;801.754;792.763;792.718;800.622;809.841;832.132;825.242
63;465.511;490.795;497.540;518.283;525.314;514.348;517.458;517.922;518.545;511.043;526.700;520.496;525.209;498.303;526.763;521.444;511.928;342.722;272.476;288.660;324.615;365.518;598.820;587.797;566.888;563.958;560.074;573.205;572.646;575.130;584.168;580.259;604.823;592.147;592.478;566.011;575.474;552.187;555.946;547.072;545.842;549.951;517.287;491.410;546.523;578.202;589.712;595.808;779.402;813.243;826.002;822.320;834.187;798.586;812.565;796.713;807.619;806.192;809.812;812.492;813.474;828.664;830.853;833.785;830.743;856.968;867.046;857.392;853.862;832.196;834.063;842.364;852.473;870.718;873.450;854.699;812.812;774.365;750.668;770.786;769.185;787.429;834.068;828.033;823.746;781.981;795.798;806.741;812.674;803.884;806.677;800.076;799.436;785.549;774.447;743.587;742.006;757.093;760.028;749.632;766.434;769.501;810.926;799.199;790.293;790.296;798.219;807.453;829.716
64;452.705;461.496;480.715;487.990;507.809;514.643;504.044;507.181;507.478;509.073;501.955;517.104;511.228;516.007;491.047;517.508;512.666;503.524;337.280;268.305;284.245;319.645;360.241;590.867;579.443;559.201;556.218;552.823;565.732;573.868;568.421;577.092;573.254;597.222;585.144;585.235;559.074;569.032;547.966;551.783;542.625;541.512;545.589;513.540;487.297;541.388;573.677;584.514;590.002;773.249;806.408;818.380;816.676;827.416;792.995;806.527;791.079;801.903;800.624;804.014;806.772;807.995;823.101;825.300;828.225;825.230;851.280;861.302;851.733;848.247;826.837;828.798;837.135;847.273;865.493;868.309;849.783;808.244;770.120;746.655;766.730;765.220;783.444;829.902;823.980;819.797;778.334;792.151;803.112;809.086;800.408;803.253;796.752;796.172;782.413;771.426;740.763;739.246;754.321;757.298;746.998;763.782;766.887;808.197;796.571;787.753;787.807;795.750;804.999
65;436.769;448.140;451.271;470.666;477.243;496.756;503.361;493.583;495.892;497.400;498.830;492.170;507.269;501.645;503.738;481.694;508.077;503.265;494.687;331.515;263.896;280.105;314.782;355.218;582.821;571.276;551.719;548.843;545.414;566.000;565.656;560.368;568.843;565.423;588.396;577.133;577.147;551.499;563.691;543.640;547.170;537.878;536.843;541.023;509.268;482.144;535.300;567.288;577.000;584.378;766.191;800.168;811.952;811.436;820.182;785.641;800.099;784.340;794.953;793.523;797.128;800.236;801.575;816.645;818.928;821.920;819.048;844.987;855.027;845.619;842.273;821.130;823.188;831.561;841.729;859.923;862.825;844.533;803.360;765.573;742.350;762.379;760.964;779.166;825.435;819.631;815.555;774.408;788.225;799.204;805.221;796.660;799.560;793.162;792.647;779.021;768.154;737.697;736.249;751.310;754.331;744.131;760.897;764.042;805.230;793.710;784.984;785.092;793.055
66;383.989;431.541;437.489;441.223;459.339;466.153;484.913;492.202;481.874;485.215;486.991;488.336;482.078;497.076;494.114;493.203;472.319;498.063;493.743;485.718;325.404;259.893;275.658;309.872;349.918;574.535;562.960;544.106;541.020;545.640;557.701;557.135;552.272;560.337;557.002;579.216;569.154;569.070;546.374;557.725;538.651;542.199;532.583;532.042;535.806;502.698;476.900;529.409;560.144;570.419;579.046;759.071;795.681;804.650;803.848;810.258;777.520;791.636;776.067;786.152;785.210;789.358;792.662;794.205;809.343;811.816;814.982;812.339;838.269;848.429;839.210;836.008;815.140;817.298;825.708;835.906;854.071;857.062;839.012;798.217;760.780;737.806;757.788;756.470;774.649;820.720;815.039;811.073;770.254;784.070;795.068;801.129;792.688;795.645;789.355;788.906;775.418;764.675;734.432;733.054;748.101;751.167;741.072;757.818;761.004;802.066;790.655;782.025;782.189
67;379.314;378.728;420.655;426.857;429.873;447.381;454.394;473.053;479.344;470.620;473.523;475.629;477.413;471.697;486.840;483.101;483.004;462.298;487.913;483.728;476.133;318.831;254.463;270.179;303.717;343.497;564.865;553.454;535.314;540.041;537.340;548.890;548.487;543.762;551.346;548.426;569.658;560.591;563.113;540.673;551.477;533.145;536.712;527.190;526.550;529.623;497.437;470.874;521.814;553.575;565.234;573.206;753.583;788.173;798.225;795.281;802.732;770.312;784.404;768.512;778.632;777.999;782.196;785.531;787.135;802.189;804.708;807.903;805.350;831.112;841.310;832.293;829.244;808.672;810.935;819.385;829.613;847.747;850.832;833.041;792.653;755.592;732.885;752.815;751.602;769.754;815.612;810.061;806.215;765.748;779.563;790.580;796.688;788.377;791.394;785.220;784.841;771.503;760.893;730.881;729.579;744.609;747.724;737.741;754.466;757.696;798.622;787.329;778.802
68;367.723;373.129;368.560;409.824;415.025;418.254;434.767;441.485;459.779;467.020;458.874;461.436;463.753;465.817;460.838;475.152;471.938;472.111;451.993;477.307;473.335;466.005;311.839;248.847;264.195;297.079;336.670;554.815;543.333;533.209;530.920;528.642;539.443;539.601;534.759;542.067;539.743;560.423;553.398;556.878;534.628;544.681;527.407;531.294;521.269;519.222;524.086;492.115;464.692;515.046;548.512;558.702;567.786;744.039;780.090;789.531;785.688;793.586;761.645;775.095;759.678;770.111;769.568;773.872;777.319;779.064;794.106;796.753;800.057;797.675;823.329;833.565;824.760;821.871;801.609;803.983;812.473;822.731;840.831;844.015;826.496;786.536;749.871;727.446;747.320;746.217;764.340;809.969;804.556;800.836;760.740;774.552;785.589;791.746;783.573;786.653;780.600;780.296;767.116;756.647;726.878;725.656;740.669;743.836;733.971;750.673;753.949;794.730;783.562
69;339.521;360.697;362.104;358.109;397.356;402.884;405.460;421.171;426.957;447.209;453.970;446.173;448.720;451.477;452.985;448.806;463.255;460.557;460.689;441.280;466.231;462.321;455.250;304.468;242.860;257.976;290.421;329.638;544.282;540.648;523.527;521.274;519.184;529.396;529.580;524.789;531.776;530.027;552.936;545.642;549.938;527.889;537.152;521.347;524.789;512.966;512.947;516.274;485.613;458.814;507.714;541.626;552.508;561.075;734.965;770.629;780.158;776.002;783.948;751.752;765.378;750.623;761.013;760.552;764.970;768.539;770.437;785.471;788.255;791.678;789.465;815.003;825.277;816.694;813.972;794.035;796.524;805.055;815.344;833.406;836.693;819.460;779.950;743.703;721.575;741.388;740.400;758.490;803.878;798.610;795.022;755.318;769.126;780.183;786.390;778.362;781.509;775.583;775.358;762.345;752.023;722.513;721.374;736.368;739.589;729.850;746.527;749.851;790.479
70;332.008;332.169;348.924;350.892;346.385;384.687;389.631;392.023;405.957;413.287;433.439;440.478;432.953;435.498;438.483;439.930;436.648;450.427;448.240;448.740;430.080;454.767;450.741;444.183;296.885;236.664;251.828;283.770;322.549;539.618;529.656;512.926;510.664;509.158;518.769;519.137;514.802;521.824;521.640;544.821;537.604;542.454;520.604;529.747;514.674;516.234;505.292;506.504;508.902;479.037;453.199;502.436;536.262;545.930;553.625;724.739;760.996;770.244;765.966;773.191;741.780;755.716;741.211;751.521;751.126;755.646;759.322;761.361;776.367;779.277;782.806;780.770;806.183;816.495;808.145;805.598;786.004;788.612;797.185;807.506;825.527;828.921;811.989;772.957;737.151;715.336;735.084;734.217;752.272;797.402;792.287;788.838;749.549;763.352;774.429;780.690;772.815;776.032;770.241;770.099;757.262;747.097;717.862;716.811;731.784;735.062;725.456;742.106;745.482
71;308.983;323.493;320.188;337.079;338.337;334.426;371.085;375.053;376.829;391.581;398.844;419.328;426.005;419.039;421.524;424.324;426.449;423.803;437.484;435.675;436.064;418.298;442.595;439.123;432.856;289.345;230.686;245.548;276.932;321.254;527.796;518.633;502.289;500.444;499.050;507.712;508.480;504.232;512.813;512.871;536.265;528.837;534.249;513.099;521.517;506.067;508.480;496.677;499.159;500.478;472.057;446.793;495.311;529.462;538.849;545.114;714.656;750.495;759.505;754.577;762.082;731.645;745.475;731.231;741.466;741.151;745.788;749.587;751.782;766.768;769.808;773.446;771.595;796.873;807.224;799.117;796.753;777.520;780.252;788.868;799.220;817.196;820.701;804.086;765.558;730.217;708.733;728.410;727.670;745.686;790.541;785.587;782.283;743.434;757.230;768.327;774.644;766.930;770.220;764.572;764.518;751.867;741.868;712.924;711.965;726.916;730.254;720.788;737.409
72;307.111;299.560;310.569;308.077;324.011;325.848;321.416;356.228;359.155;362.585;376.391;383.693;404.202;410.971;404.372;406.602;410.050;412.264;410.608;423.730;422.180;423.381;405.934;430.286;426.845;420.991;281.681;224.749;239.415;275.265;314.059;515.335;507.072;490.885;489.216;487.920;495.939;496.950;494.682;503.288;503.281;527.043;519.222;526.165;504.645;511.824;497.331;499.214;488.281;491.069;491.175;464.507;440.667;488.535;521.414;530.226;536.422;703.805;739.102;747.317;742.834;750.741;720.839;734.552;720.587;730.749;730.523;735.286;739.220;741.586;756.534;759.709;763.460;761.802;786.933;797.323;789.473;787.300;768.447;771.308;779.968;790.352;808.277;811.898;795.617;757.623;722.775;701.640;721.241;720.633;738.605;783.165;778.381;775.231;736.848;750.635;761.752;768.127;760.584;763.951;758.454;758.494;746.040;736.217;707.582;706.721;721.648;725.049;715.733
73;289.812;296.481;286.445;297.843;294.722;310.674;312.236;307.682;339.493;343.965;347.311;360.775;367.768;388.609;392.912;388.594;391.413;395.021;397.659;396.488;409.422;408.385;409.993;393.416;417.477;414.297;409.145;274.117;218.850;237.356;267.774;306.057;501.780;494.860;478.716;477.055;476.474;484.090;486.324;484.666;493.284;493.245;517.080;509.723;517.094;494.822;501.760;487.521;489.067;479.913;482.814;482.962;456.622;433.577;480.344;512.025;520.991;527.102;692.078;725.950;734.470;730.662;738.555;709.240;722.852;709.209;719.318;719.212;724.133;728.233;730.755;745.660;748.976;752.845;751.388;776.360;786.788;779.209;777.236;758.786;761.781;770.486;780.901;798.770;802.513;786.585;749.159;714.836;694.070;713.588;713.120;731.042;775.285;770.681;767.693;729.807;743.584;754.720;761.154;753.793;757.242;751.906;752.045;739.802;730.166;701.861;701.104;716.004;719.472
74;273.432;277.676;282.000;273.892;283.540;281.346;296.404;297.468;292.593;323.566;328.042;331.440;344.283;351.102;372.832;376.081;372.558;375.269;379.408;382.022;381.461;394.522;393.404;396.201;379.921;404.283;401.481;396.924;265.987;217.188;231.063;260.451;298.389;488.104;481.871;466.139;464.742;464.575;472.570;475.236;473.926;482.595;482.307;506.879;499.429;505.422;482.701;491.853;477.571;479.221;471.635;473.939;474.538;448.978;425.842;472.226;503.140;511.917;518.057;679.274;712.938;721.915;718.229;726.025;697.261;710.689;697.314;707.292;707.236;712.249;716.471;719.156;734.013;737.475;741.467;740.223;765.020;775.486;768.195;766.433;748.413;751.549;760.300;770.746;788.553;792.423;776.872;740.055;706.295;685.924;705.351;705.031;722.897;766.797;762.384;759.569;722.217;735.981;747.135;753.633;746.467;750.003;744.838;745.084;733.068;723.633;695.683;695.037;709.907
75;252.021;260.791;262.463;267.890;259.817;269.229;266.981;280.895;281.254;277.951;307.243;311.490;315.040;327.255;333.387;355.149;359.229;355.672;358.753;363.239;365.810;366.123;378.539;377.995;381.433;365.993;390.590;387.841;384.078;261.816;210.301;223.608;251.912;289.630;472.637;467.236;451.987;450.476;452.086;460.573;463.293;462.579;470.962;471.500;495.751;487.245;493.082;471.857;481.433;467.304;469.075;462.179;464.937;465.189;440.313;417.618;462.623;493.418;501.888;507.127;665.569;699.359;708.250;704.714;712.431;684.282;697.539;684.478;694.341;694.364;699.495;703.845;706.699;721.500;725.115;729.236;728.216;752.820;763.323;756.338;754.800;737.239;740.522;749.320;759.797;777.534;781.538;766.389;730.226;697.069;677.121;696.448;696.285;714.087;757.615;753.406;750.775;713.997;727.745;738.917;745.481;738.525;742.153;737.172;737.532;725.760;716.540;688.974;688.446
76;239.752;238.807;244.736;248.012;252.448;245.411;254.208;251.653;264.190;265.634;262.767;290.306;294.239;298.454;310.576;315.885;337.629;341.513;338.336;341.531;346.086;349.403;349.118;361.896;361.392;365.635;351.529;376.139;373.378;374.342;252.022;202.626;215.692;243.156;280.273;456.506;452.483;437.680;437.312;438.939;447.800;450.724;449.659;459.370;459.968;483.004;473.360;480.300;459.546;469.596;456.752;458.579;452.570;454.800;456.909;430.697;408.761;453.509;483.732;490.957;496.535;652.253;685.354;694.088;690.649;698.222;670.666;683.679;670.891;680.570;680.671;685.924;690.405;693.435;708.171;711.944;716.199;715.413;739.808;750.347;743.685;742.382;725.308;728.745;737.590;748.098;765.755;769.900;755.178;719.714;687.201;667.704;686.922;686.924;704.656;747.781;743.788;741.353;705.190;718.918;730.108;736.741;730.009;733.734;728.949;729.432;717.921;708.931;681.777
77;221.063;225.383;222.376;229.570;232.014;237.297;230.211;238.118;235.157;248.140;249.429;247.118;272.444;276.415;279.427;292.472;298.768;319.261;323.407;320.345;323.468;328.285;331.208;331.846;343.867;343.770;349.421;336.265;360.567;361.782;359.677;241.969;194.635;207.553;233.878;270.441;439.633;436.707;423.071;423.362;424.979;434.015;436.881;436.927;446.699;445.872;468.836;459.794;467.007;447.014;456.148;444.745;448.101;441.144;443.937;446.433;420.314;399.293;443.075;471.618;479.172;485.277;637.507;669.917;678.532;675.252;682.722;655.853;668.657;656.216;665.755;665.938;671.320;675.940;679.158;693.823;697.764;702.162;701.627;725.796;736.371;730.056;729.006;712.455;716.057;724.953;735.493;753.065;757.360;743.098;708.385;676.566;657.554;676.654;676.834;694.492;737.183;733.424;731.200;695.699;709.407;720.617;727.325;720.834;724.665;720.092;720.707;709.477;700.735
78;197.409;206.042;208.057;207.061;213.257;216.742;221.276;214.156;220.992;219.572;231.694;233.036;231.049;254.222;258.806;261.650;274.746;280.551;300.627;304.604;301.606;305.072;309.242;313.106;313.717;325.537;326.167;332.667;320.413;348.161;346.250;344.875;231.696;186.913;199.109;224.369;260.360;422.230;420.148;408.038;408.800;409.858;419.130;423.474;423.272;431.795;430.754;454.689;446.097;452.757;432.967;444.028;432.901;436.474;429.913;431.417;434.727;409.401;389.050;430.510;458.905;467.050;473.099;621.596;653.285;661.794;658.705;666.086;639.980;652.579;640.513;649.899;650.166;655.682;660.448;663.864;678.448;682.566;687.115;686.847;710.768;721.378;715.435;714.654;698.665;702.441;711.390;721.962;739.440;743.894;730.126;696.225;665.154;646.664;665.635;666.007;683.581;725.800;722.294;720.297;685.511;699.196;710.425;717.215;710.983;714.929;710.585;711.343;700.416
79;182.633;181.925;188.539;192.127;190.305;197.362;200.443;203.878;196.893;204.629;203.432;215.052;215.942;214.822;236.808;239.871;243.880;256.023;262.533;281.490;285.059;282.528;285.770;290.405;294.170;295.104;307.712;308.359;315.302;307.870;331.074;329.888;328.797;220.713;177.976;189.899;213.940;249.250;404.375;403.037;392.219;393.408;393.529;404.326;408.517;408.355;415.773;415.694;438.091;430.972;438.313;419.063;430.920;419.268;423.349;416.981;418.871;422.008;397.658;376.688;417.506;445.904;453.902;459.877;604.322;635.222;643.607;640.714;647.990;622.700;635.052;623.389;632.605;632.960;638.615;643.535;647.158;661.651;665.955;670.664;670.681;694.328;704.972;699.430;698.938;683.558;687.519;696.523;707.126;724.499;729.124;715.889;682.870;652.614;634.690;653.518;654.096;671.576;713.278;710.045;708.295;674.288;687.946;699.194;706.071;700.122;704.192;700.097;701.011
